"Month","DOY","MeanRain_mm","MeanRain_10day_mm","Dayof2019","MeanRain_month_mm","month_labels"
1,1,0.414705882352941,2.34477124183007,2025-01-01,2.58668366645722,"J"
1,2,3.78823529411765,2.50560224089636,2025-01-02,2.58668366645722,"J"
1,3,4.34117647058823,2.49883578431373,2025-01-03,2.58668366645722,"J"
1,4,2.22941176470588,2.47739651416122,2025-01-04,2.58668366645722,"J"
1,5,1.00098039215686,2.45789215686275,2025-01-05,2.58668366645722,"J"
1,6,2.29411764705882,3.05083333333333,2025-01-06,2.58668366645722,"J"
1,7,3.47058823529412,2.92393155678629,2025-01-07,2.58668366645722,"J"
1,8,2.45147058823529,2.52269929123015,2025-01-08,2.58668366645722,"J"
1,9,2.30588235294118,2.50711105593604,2025-01-09,2.58668366645722,"J"
1,10,2.28235294117647,2.54642478142623,2025-01-10,2.58668366645722,"J"
1,11,6.34411764705882,2.40701301672035,2025-01-11,2.58668366645722,"J"
1,12,2.51921752864722,2.29688489098028,2025-01-12,2.58668366645722,"J"
1,13,0.32885381502687,2.1985025380391,2025-01-13,2.58668366645722,"J"
1,14,2.07352941176471,2.17564977679663,2025-01-14,2.58668366645722,"J"
1,15,1.39411764705882,2.41123801209075,2025-01-15,2.58668366645722,"J"
1,16,0.9,2.37035565914957,2025-01-16,2.58668366645722,"J"
1,17,2.36930697789339,2.32901514926246,2025-01-17,2.58668366645722,"J"
1,18,1.46764705882353,2.78465917952447,2025-01-18,2.58668366645722,"J"
1,19,2.07735474051649,2.87815676911315,2025-01-19,2.58668366645722,"J"
1,20,4.63823529411765,3.08663603085874,2025-01-20,2.58668366645722,"J"
1,21,5.93529411764706,3.2819301485058,2025-01-21,2.58668366645722,"J"
1,22,2.10581242977604,3.29606043282992,2025-01-22,2.58668366645722,"J"
1,23,4.88529411764706,3.36517807988875,2025-01-23,2.58668366645722,"J"
1,24,3.00850530765143,3.2855918330382,2025-01-24,2.58668366645722,"J"
1,25,3.47891026451475,2.93441536244997,2025-01-25,2.58668366645722,"J"
1,26,2.85294117647059,2.55605978529917,2025-01-26,2.58668366645722,"J"
1,27,2.51060982113464,2.54552864003445,2025-01-27,2.58668366645722,"J"
1,28,2.15882352941176,2.37857361782905,2025-01-28,2.58668366645722,"J"
1,29,1.28149227201104,2.29802611736693,2025-01-29,2.58668366645722,"J"
1,30,1.12647058823529,2.48260241065442,2025-01-30,2.58668366645722,"J"
1,31,2.15173834613914,2.50306586876494,2025-01-31,2.58668366645722,"J"
2,32,2.00050097712885,2.34791397756056,2025-02-01,3.02114020692098,"F"
2,33,3.21574389559297,2.55364101112869,2025-02-02,3.02114020692098,"F"
2,34,2.2030303030303,2.66640087483667,2025-02-03,3.02114020692098,"F"
2,35,5.3246731973896,2.74739017964951,2025-02-04,3.02114020692098,"F"
2,36,3.05757575757576,2.76898939074932,2025-02-05,3.02114020692098,"F"
2,37,0.959090909090909,2.81621202030917,2025-02-06,3.02114020692098,"F"
2,38,4.21609386509301,2.83137969619011,2025-02-07,3.02114020692098,"F"
2,39,2.40909090909091,3.06855767643146,2025-02-08,3.02114020692098,"F"
2,40,1.93636363636364,2.63030447615258,2025-02-09,3.02114020692098,"F"
2,41,2.3677304571373,2.65303174887985,2025-02-10,3.02114020692098,"F"
2,42,2.47272727272727,2.90863780948591,2025-02-11,3.02114020692098,"F"
2,43,3.36742065440239,2.79424366452483,2025-02-12,3.02114020692098,"F"
2,44,4.57481010544377,2.72424366452483,2025-02-13,3.02114020692098,"F"
2,45,0.942141194600824,2.70663332113335,2025-02-14,3.02114020692098,"F"
2,46,3.28484848484849,2.80428180199153,2025-02-15,3.02114020692098,"F"
2,47,3.51515151515152,2.95428180199153,2025-02-16,3.02114020692098,"F"
2,48,3.07215241548223,2.89193074099568,2025-02-17,3.02114020692098,"F"
2,49,1.70909090909091,2.60657094257251,2025-02-18,3.02114020692098,"F"
2,50,1.76026020244879,2.85599318674879,2025-02-19,3.02114020692098,"F"
